CompoundNameForSearch,Compound,MolecularFormula,MonoisotopicMW,[M+H]+,[M+Na]+,[M+K]+,[2M+H]+,[2M+Na]+,[2M+K]+,"ChemSpider ID, PubChem CID or source"
CytochalasinE,Cytochalasin E,C28H33NO7,495.2256908,496.2329668,518.2149088,534.1888488,991.4586576,1013.4406,1029.41454,5458385
CytochalasinF,Cytochalasin F,C29H37NO5,479.2671592,480.2744352,502.2563772,518.2303172,959.5415944,981.5235364,997.4974764,21672263
CytochalasinH,Cytochalasin H,C30H39NO5,493.2828084,494.2900844,516.2720264,532.2459664,987.5728928,1009.554835,1025.528775,16211932
CytochalasinN,Cytochalasin N,C30H39NO5,493.2828084,494.2900844,516.2720264,532.2459664,987.5728928,1009.554835,1025.528775,13892285
CytochalasinO,Cytochalasin O,C28H37NO4,451.2722442,452.2795202,474.2614622,490.2354022,903.5517644,925.5337064,941.5076464,13892286
CytochalasinP,Cytochalasin P,C30H41NO6,511.2933726,512.3006486,534.2825906,550.2565306,1023.594021,1045.575963,1061.549903,13892289
CytochalasinR,Cytochalasin R,C28H39NO5 ,469.2828084,470.2900844,492.2720264,508.2459664,939.5728928,961.5548348,977.5287748,101588729
"Deacetyl-19,20-epoxycytochalasinC","Deacetyl-19,20-epoxycytochalasin C",C28H35NO6,481.246425,482.253701,504.235643,520.209583,963.500126,985.482068,1001.456008,102068107
"Deacetyl-19,20-epoxycytochalasinQ","Deacetyl-19,20-epoxycytochalasin Q",C28H35NO6,481.246425,482.253701,504.235643,520.209583,963.500126,985.482068,1001.456008,https://doi.org/10.1016/S0040-4020(01)85632-5
Dechlorodihydromaldoxin,Dechlorodihydromaldoxin,C17H16O8 ,348.0845136,349.0917896,371.0737316,387.0476716,697.1763032,719.1582452,735.1321852,DOI: 10.1021/ol201561w
Dechlorogriseofulvin,Dechlorogriseofulvin,C17H18O6,318.1103328,319.1176088,341.0995508,357.0734908,637.2279416,659.2098836,675.1838236,23550443
DesacetylcytochalasinD,Desacetylcytochalasin D,C28H35NO5,465.25151,466.258786,488.240728,504.214668,931.510296,953.492238,969.466178,6433890
Dihydromaldoxin,Dihydromaldoxin,C16H13ClO8,368.0298928,369.0371688,391.0191108,406.9930508,737.0670616,759.0490036,775.0229436,101989460
EllisiiamideA,Ellisiiamide A,C30H45N5O5,555.342052,556.349328,578.33127,594.30521,1111.69138,1133.673322,1149.647262,https://doi.org/10.1038/s41598-020-61088-x
EllisiiamideB,Ellisiiamide B,C31H47N5O5,569.3577012,570.3649772,592.3469192,608.3208592,1139.722678,1161.70462,1177.67856,https://doi.org/10.1038/s41598-020-61088-x
EllisiiamideC,Ellisiiamide C,C33H51N5O5,597.3889996,598.3962756,620.3782176,636.3521576,1195.785275,1217.767217,1233.741157,https://doi.org/10.1038/s41598-020-61088-x
EllisiiamideD,Ellisiiamide D,C27H47N5O5,521.3577012,522.3649772,544.3469192,560.3208592,1043.722678,1065.70462,1081.67856,https://doi.org/10.1038/s41598-020-61088-x
EllisiiamideE,Ellisiiamide E,C30H53N5O5,563.4046488,564.4119248,586.3938668,602.3678068,1127.816574,1149.798516,1165.772456,https://doi.org/10.1038/s41598-020-61088-x
EllisiiamideF,Ellisiiamide F,C31H47N5O6,585.3526162,586.3598922,608.3418342,624.3157742,1171.712508,1193.69445,1209.66839,https://doi.org/10.1038/s41598-020-61088-x
EllisiiamideG,Ellisiiamide G,C32H49N5O6,599.3682654,600.3755414,622.3574834,638.3314234,1199.743807,1221.725749,1237.699689,https://doi.org/10.1038/s41598-020-61088-x
EllisiiamideH,Ellisiiamide H,C33H51N5O6,613.3839146,614.3911906,636.3731326,652.3470726,1227.775105,1249.757047,1265.730987,https://doi.org/10.1038/s41598-020-61088-x
EpoxycytochalasinD,Epoxycytochalasin D,C30H39NO5,493.2828084,494.2900844,516.2720264,532.2459664,987.5728928,1009.554835,1025.528775,10625000
Ergosterin,Ergosterin,C28H44O,396.3391974,397.3464734,419.3284154,435.3023554,793.6856708,815.6676128,831.6415528,444679
erythro-Telfairicacid,erythro-Telfairic acid,C12H16O6,256.0946836,257.1019596,279.0839016,295.0578416,513.1966432,535.1785852,551.1525252,101992801
Eucalyptene,Eucalyptene,C14H14O3,230.0942894,231.1015654,253.0835074,269.0574474,461.1958548,483.1777968,499.1517368,10014072
Gliocladicacid,Gliocladic acid,C14H22O4,254.1518012,255.1590772,277.1410192,293.1149592,509.3108784,531.2928204,547.2667604,26495249
Globoscin,Globoscin,C14H16O6,280.0946836,281.1019596,303.0839016,319.0578416,561.1966432,583.1785852,599.1525252,85120047
Globoscinicacid,Globoscinic acid,C14H18O7 ,298.1052478,299.1125238,321.0944658,337.0684058,597.2177716,619.1997136,635.1736536,101926416
Grammicin,Grammicin,C7H6O4,154.0266076,155.0338836,177.0158256,192.9897656,309.0604912,331.0424332,347.0163732,10606969
Griseofulvin,Griseofulvin,C17H17ClO6,352.0713612,353.0786372,375.0605792,391.0345192,705.1499984,727.1319404,743.1058804,389934
HirsutatinA,Hirsutatin A,C34H52N4O10,676.3683252,677.3756012,699.3575432,715.3314832,1353.743926,1375.725868,1391.699808,11707361
Hydroheptelidicacid,Hydroheptelidic acid,C15H22O6,298.1416312,299.1489072,321.1308492,337.1047892,597.2905384,619.2724804,635.2464204,https://doi.org/10.1021/acs.jafc.9b04053
HymatoxinE,Hymatoxin E,C20H30O4,334.214398,335.221674,357.203616,373.177556,669.436072,691.418014,707.391954,https://doi.org/10.1002/chin.199204247
Integricacid,Integric acid,C25H34O6,430.2355264,431.2428024,453.2247444,469.1986844,861.4783288,883.4602708,899.4342108,44550889
Isodihydromaldoxin,Isodihydromaldoxin,C16H13ClO8,368.0298928,369.0371688,391.0191108,406.9930508,737.0670616,759.0490036,775.0229436,101989461
KolokosideA,Kolokoside A,C36H58O10,650.4029768,651.4102528,673.3921948,689.3661348,1301.81323,1323.795172,1339.769112,16115161
KolokosideB,Kolokoside B,C36H58O9 ,634.4080618,635.4153378,657.3972798,673.3712198,1269.8234,1291.805342,1307.779282,102275697
KolokosideC,Kolokoside C,C36H58O10,650.4029768,651.4102528,673.3921948,689.3661348,1301.81323,1323.795172,1339.769112,16115162
KolokosideD,Kolokoside D,C36H58O10,650.4029768,651.4102528,673.3921948,689.3661348,1301.81323,1323.795172,1339.769112,16115283
MairetolideF,Mairetolide F,C15H22O4,266.1518012,267.1590772,289.1410192,305.1149592,533.3108784,555.2928204,571.2667604,16091621
Maldoxin,Maldoxin,C17H13ClO8,380.0298928,381.0371688,403.0191108,418.9930508,761.0670616,783.0490036,799.0229436,10595972
Maldoxone,Maldoxone,C17H13ClO7,364.0349778,365.0422538,387.0241958,402.9981358,729.0772316,751.0591736,767.0331136,10713846
"Methyl4-amino-2-(2,3-dihydroxy-3-methylbutyl)benzoate","Methyl 4-amino-2-(2,3-dihydroxy-3-methylbutyl)benzoate",C13H19NO4,253.1314014,254.1386774,276.1206194,292.0945594,507.2700788,529.2520208,545.2259608,24748764
MethylxylariateC,Methyl xylariate C,C11H16O3,196.1099386,197.1172146,219.0991566,235.0730966,393.2271532,415.2090952,431.1830352,46832768
NeoechinulinA,Multiplide A,C19H21N3O2,323.1633686,324.1706446,346.1525866,362.1265266,647.3340132,669.3159552,685.2898952,9996305
PenochalasinB2,Penochalasin B2,C32H35N3O3,509.267828,510.275104,532.257046,548.230986,1019.542932,1041.524874,1057.498814,DOI: 10.1038/ja.2005.31
Phaseolinone,Phaseolinone,C15H20O5,280.131067,281.138343,303.120285,319.094225,561.26941,583.251352,599.225292,114980
Phomenone,Phomenone,C15H20O4,264.136152,265.143428,287.12537,303.09931,529.27958,551.261522,567.235462,93306
Piliformicacid,Piliformic acid,C11H18O4 ,214.1205028,215.1277788,237.1097208,253.0836608,429.2482816,451.2302236,467.2041636,20842192
Quinoline-4-carbonitrile,Quinoline-4-carbonitrile,C10H6N2,154.0530956,155.0603716,177.0423136,193.0162536,309.1134672,331.0954092,347.0693492,270566
Quinoline-4-carboxaldehydeoxime,Quinoline-4-carboxaldehyde oxime,C10H8N2O,172.0636598,173.0709358,195.0528778,211.0268178,345.1345956,367.1165376,383.0904776,10401807
Sordaricin,Sordaricin,C20H28O4,332.1987488,333.2060248,355.1879668,371.1619068,665.4047736,687.3867156,703.3606556,485853
SphaeropsidinC,Sphaeropsidin C,C20H28O4,332.1987488,333.2060248,355.1879668,371.1619068,665.4047736,687.3867156,703.3606556,10544575
threo-Telfairicacid,threo-Telfairic acid,C12H16O6,256.0946836,257.1019596,279.0839016,295.0578416,513.1966432,535.1785852,551.1525252,101992800
TrichoderonicacidA,Trichoderonic acid A,C16H24O6 ,312.1572804,313.1645564,335.1464984,351.1204384,625.3218368,647.3037788,663.2777188,74015886
Tyrosol,Tyrosol,C8H10O2,138.068076,139.075352,161.057294,177.031234,277.143428,299.12537,315.09931,10393
Uracil,Uracil,C4H4N2O2 ,112.0272764,113.0345524,135.0164944,150.9904344,225.0618288,247.0437708,263.0177108,1174
Xylactam,Xylactam,C23H31NO6 ,417.2151266,418.2224026,440.2043446,456.1782846,835.4375292,857.4194712,873.3934112,11200888
Xylaral,Xylaral,C23H30O7,418.199143,419.206419,441.188361,457.162301,837.405562,859.387504,875.361444,14629231
Xylaramide,Xylaramide,C5H10N2O5,178.058969,179.066245,201.048187,217.022127,357.125214,379.107156,395.081096,21379110
XylaranolA,Xylaranol A,C15H26O2,238.1932696,239.2005456,261.1824876,277.1564276,477.3938152,499.3757572,515.3496972,46217965
XylaranolB,Xylaranol B,C15H28O3,256.2038338,257.2111098,279.1930518,295.1669918,513.4149436,535.3968856,551.3708256,46217966
XylarenalA,Xylarenal A,C25H38O4,402.2769948,403.2842708,425.2662128,441.2401528,805.5612656,827.5432076,843.5171476,10001181
XylarenalB,Xylarenal B,C25H38O5,418.2719098,419.2791858,441.2611278,457.2350678,837.5510956,859.5330376,875.5069776,10364725
Xylarenicacid,Xylarenic acid,C15H24O3,252.1725354,253.1798114,275.1617534,291.1356934,505.3523468,527.3342888,543.3082288,24787195
Xylarenolide,Xylarenolide,C20H28O5,348.1936638,349.2009398,371.1828818,387.1568218,697.3946036,719.3765456,735.3504856,46217964
XylarenoneA,Xylarenone A,C15H20O4 ,264.136152,265.143428,287.12537,303.09931,529.27958,551.261522,567.235462,24752810
XylarenoneB,Xylarenone B,C17H22O5,306.1467162,307.1539922,329.1359342,345.1098742,613.3007084,635.2826504,651.2565904,24752811
XylariaquinoneA,Xylariaquinone A,C15H12O5,272.0684702,273.0757462,295.0576882,311.0316282,545.1442164,567.1261584,583.1000984,23634443
XylaricacidA,Xylaric acid A,C14H22O5,270.1467162,271.1539922,293.1359342,309.1098742,541.3007084,563.2826504,579.2565904,139583529
XylaricacidB,Xylaric acid B,C16H26O7,330.1678446,331.1751206,353.1570626,369.1310026,661.3429652,683.3249072,699.2988472,139583562
XylaricacidC,Xylaric acid C,C17H28O7,344.1834938,345.1907698,367.1727118,383.1466518,689.3742636,711.3562056,727.3301456,139587443
XylaricacidD,Xylaric acid D,C15H20O5,280.131067,281.138343,303.120285,319.094225,561.26941,583.251352,599.225292,38354723
Xylarin,Xylarin,C27H3609,3961.238981,3962.246257,3984.228199,4000.202139,7923.485239,7945.467181,7961.441121,464917
XylarinicacidA,Xylarinic acid A,C13H22O2 ,210.1619712,211.1692472,233.1511892,249.1251292,421.3312184,443.3131604,459.2871004,24740398
XylarinicacidB,Xylarinic acid B,C11H20O2,184.146322,185.153598,207.13554,223.10948,369.29992,391.281862,407.255802,24740399
XylarinolA,Xylarinol A,C10H8O3 ,176.0473418,177.0546178,199.0365598,215.0104998,353.1019596,375.0839016,391.0578416,42603801
XylarinolB,Xylarinol B,C12H16O4,224.1048536,225.1121296,247.0940716,263.0680116,449.2169832,471.1989252,487.1728652,42603802
XylarioicacidB,Xylarioic acid B,C11H22O5,234.1467162,235.1539922,257.1359342,273.1098742,469.3007084,491.2826504,507.2565904,46832764
XylariolA,Xylariol A,C11H14O4,210.0892044,211.0964804,233.0784224,249.0523624,421.1856848,443.1676268,459.1415668,78438156
XylariolB,Xylariol B,C11H14O4,210.0892044,211.0964804,233.0784224,249.0523624,421.1856848,443.1676268,459.1415668,78436725
XylariolideA,Xylariolide A,C11H20O4,216.136152,217.143428,239.12537,255.09931,433.27958,455.261522,471.235462,46832765
XylariolideB,Xylariolide B,C11H20O5,232.131067,233.138343,255.120285,271.094225,465.26941,487.251352,503.225292,46832766
XylariolideC,Xylariolide C,C11H20O5,232.131067,233.138343,255.120285,271.094225,465.26941,487.251352,503.225292,46832767
XylariolideD,Xylariolide D,C10H14O3,182.0942894,183.1015654,205.0835074,221.0574474,365.1958548,387.1777968,403.1517368,46832769
Xylarisin,Xylarisin,C21H31NO5,377.2202116,378.2274876,400.2094296,416.1833696,755.4476992,777.4296412,793.4035812,102294894
Xylaropyrone,Xylaropyrone,C12H18O3,210.1255878,211.1328638,233.1148058,249.0887458,421.2584516,443.2403936,459.2143336,51350338
XylarosideA,Xylaroside A,C16H24O7 ,328.1521954,329.1594714,351.1414134,367.1153534,657.3116668,679.2936088,695.2675488,24970521
XylarosideB,Xylaroside B,C16H24O7,328.1521954,329.1594714,351.1414134,367.1153534,657.3116668,679.2936088,695.2675488,24970522
XylarotideA,Xylarotide A,C29H51N5O5,549.3889996,550.3962756,572.3782176,588.3521576,1099.785275,1121.767217,1137.741157,28289364
XylcarpinA,Xylcarpin A,C15H24O2,236.1776204,237.1848964,259.1668384,275.1407784,473.3625168,495.3444588,511.3183988,doi: 10.1007/s13659-011-0011-y
XylcarpinB,Xylcarpin B,C15H24O,220.1827054,221.1899814,243.1719234,259.1458634,441.3726868,463.3546288,479.3285688,doi: 10.1007/s13659-011-0011-y
XylcarpinD,Xylcarpin D,C15H26O3,254.1881846,255.1954606,277.1774026,293.1513426,509.3836452,531.3655872,547.3395272,doi: 10.1007/s13659-011-0011-y
XylcarpinE,Xylcarpin E,C15H26O4,270.1830996,271.1903756,293.1723176,309.1462576,541.3734752,563.3554172,579.3293572,doi: 10.1007/s13659-011-0011-y
XyloallenolideA,Xyloallenolide A,C29H40N4O5,524.299855,525.307131,547.289073,563.263013,1049.606986,1071.588928,1087.562868,10478464
XyloallenolideB,Xyloallenolide B,C23H24O3,348.1725354,349.1798114,371.1617534,387.1356934,697.3523468,719.3342888,735.3082288,24970515
Xylobovide,Xylobovide,C9H10O4,182.057906,183.065182,205.047124,221.021064,365.123088,387.10503,403.07897,10583566
XyloesterA,Xyloester A,C23H30O5,386.209313,387.216589,409.198531,425.172471,773.425902,795.407844,811.381784,24970516
XyloketalA,Xyloketal A,C27H36O6,456.2511756,457.2584516,479.2403936,495.2143336,913.5096272,935.4915692,951.4655092,9169324
XyloketalB,Xyloketal B,C20H26O5,346.1780146,347.1852906,369.1672326,385.1411726,693.3633052,715.3452472,731.3191872,9156097
XyloketalC,Xyloketal C,C20H26O5,346.1780146,347.1852906,369.1672326,385.1411726,693.3633052,715.3452472,731.3191872,9123203
XyloketalD,Xyloketal D,C15H18O4,262.1205028,263.1277788,285.1097208,301.0836608,525.2482816,547.2302236,563.2041636,9417506
XyloketalE,Xyloketal E,C26H36O6,444.2511756,445.2584516,467.2403936,483.2143336,889.5096272,911.4915692,927.4655092,9277456
XyloketalF,Xyloketal F,C41H52O10,704.3560292,705.3633052,727.3452472,743.3191872,1409.719334,1431.701276,1447.675216,9709722
XyloketalG,Xyloketal G,C15H18O4,262.1205028,263.1277788,285.1097208,301.0836608,525.2482816,547.2302236,563.2041636,10480801
XyloketalH,Xyloketal H,C13H16O4,236.1048536,237.1121296,259.0940716,275.0680116,473.2169832,495.1989252,511.1728652,17214434
XyloketalJ,Xyloketal J,C32H38O6,518.2668248,519.2741008,541.2560428,557.2299828,1037.540926,1059.522868,1075.496808,24719262
Xylopimarane,Xylopimarane,C25H36O8 ,464.2410056,465.2482816,487.2302236,503.2041636,929.4892872,951.4712292,967.4451692,51042636
ZygosporinE,Zygosporin E,C30H37NO5,491.2671592,492.2744352,514.2563772,530.2303172,983.5415944,1005.523536,1021.497476,5458428
